person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
27,36312,MORTGAGE,2.7,EDUCATION,C,4486,18.18,1,0.12,N,24
53,101718,OWN,2.3,EDUCATION,D,2323,24.1,0,0.02,N,25
31,26591,MORTGAGE,3.8,PERSONAL,C,22220,12.2,0,0.84,N,30
48,45553,RENT,3.0,HOMEIMPROVEMENT,C,20972,10.07,1,0.46,N,25
65,36139,RENT,11.0,VENTURE,E,1110,14.12,1,0.03,N,27
32,7406,RENT,6.0,VENTURE,E,26411,25.0,1,1.5,N,28
25,29701,RENT,11.4,PERSONAL,B,37136,13.26,1,1.25,Y,4
31,20248,OWN,6.2,HOMEIMPROVEMENT,A,21209,16.31,1,1.05,N,29
40,36324,RENT,17.7,VENTURE,D,12384,20.01,0,0.34,N,9
57,46195,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21319,8.12,1,0.46,N,15
38,81362,RENT,16.6,MEDICAL,E,38213,13.16,1,0.47,N,18
33,5000,RENT,0.9,EDUCATION,A,22056,5.0,0,1.5,N,27
62,33344,RENT,0.3,EDUCATION,E,13722,9.48,0,0.41,N,7
35,9805,RENT,4.3,PERSONAL,C,21567,6.63,1,1.5,Y,20
64,49608,RENT,20.5,VENTURE,D,11518,12.12,1,0.23,Y,16
70,129736,OWN,2.7,VENTURE,B,37099,18.27,0,0.29,N,11
41,25394,RENT,1.2,EDUCATION,F,2879,14.1,1,0.11,Y,4
43,16822,OWN,3.7,PERSONAL,A,22989,12.47,0,1.37,N,30
42,22554,OWN,5.2,PERSONAL,B,12894,8.9,1,0.57,N,28
62,9952,RENT,1.9,DEBTCONSOLIDATION,A,14917,12.24,1,1.5,Y,29
58,5000,OWN,6.3,EDUCATION,E,28349,24.0,1,1.5,N,28
46,40494,MORTGAGE,18.5,EDUCATION,B,35707,9.32,1,0.88,N,8
32,32167,RENT,11.4,EDUCATION,C,24790,11.96,0,0.77,N,3
62,17225,RENT,1.7,EDUCATION,C,15615,19.46,1,0.91,N,27
18,12282,MORTGAGE,2.0,VENTURE,E,33252,19.93,0,1.5,N,21
42,59998,RENT,2.3,DEBTCONSOLIDATION,C,24741,6.89,0,0.41,Y,5
24,76897,RENT,2.5,PERSONAL,C,38697,20.16,1,0.5,N,3
26,36859,MORTGAGE,0.5,VENTURE,D,24943,12.55,1,0.68,N,27
41,5000,RENT,7.2,EDUCATION,D,37033,14.7,1,1.5,Y,20
18,28737,RENT,2.3,DEBTCONSOLIDATION,A,12861,6.9,1,0.45,N,9
61,42713,MORTGAGE,10.6,EDUCATION,A,24796,12.87,1,0.58,Y,3
25,26224,MORTGAGE,13.1,PERSONAL,A,9345,16.16,0,0.36,N,26
41,28790,RENT,0.1,MEDICAL,B,14247,20.06,1,0.49,N,25
28,18360,RENT,22.3,PERSONAL,B,18057,22.44,0,0.98,Y,10
68,26709,MORTGAGE,6.2,PERSONAL,C,2167,12.18,1,0.08,N,17
34,63999,OWN,3.7,VENTURE,F,31534,25.0,1,0.49,N,27
25,38527,RENT,2.5,VENTURE,B,14643,16.34,1,0.38,N,21
52,20868,RENT,3.7,MEDICAL,D,3821,14.79,1,0.18,N,21
52,26286,RENT,2.0,VENTURE,C,25557,22.75,1,0.97,N,11
50,81572,MORTGAGE,4.9,MEDICAL,A,28379,13.59,1,0.35,N,9
22,12529,MORTGAGE,0.5,VENTURE,C,4626,14.09,1,0.37,N,11
59,18525,MORTGAGE,4.9,MEDICAL,F,19677,11.23,1,1.06,N,24
56,28739,MORTGAGE,1.6,VENTURE,A,9799,16.35,1,0.34,N,7
58,19794,OWN,0.1,PERSONAL,C,6685,6.55,1,0.34,N,1
45,78939,RENT,4.0,EDUCATION,A,34888,7.79,0,0.44,Y,14
24,65094,OWN,4.3,EDUCATION,B,30167,23.23,1,0.46,N,11
26,28224,OWN,2.8,EDUCATION,C,8957,8.1,0,0.32,N,14
25,122892,RENT,0.4,HOMEIMPROVEMENT,D,16442,13.24,1,0.13,N,23
29,40758,RENT,11.2,EDUCATION,D,2623,25.0,1,0.06,N,18
51,89647,MORTGAGE,4.7,PERSONAL,B,18394,10.75,1,0.21,N,30
50,83959,RENT,0.6,EDUCATION,E,37120,15.57,1,0.44,N,27
65,45226,RENT,3.6,EDUCATION,B,31104,16.96,1,0.69,N,9
40,11657,OWN,3.4,VENTURE,D,36690,9.63,1,1.5,N,12
41,34834,OWN,0.3,MEDICAL,B,8931,23.46,1,0.26,N,14
54,17973,RENT,4.7,VENTURE,E,36275,14.5,0,1.5,N,29
52,48936,MORTGAGE,8.3,EDUCATION,D,32838,22.71,0,0.67,Y,12
61,43396,RENT,6.9,DEBTCONSOLIDATION,E,27080,14.75,1,0.62,N,3
57,39284,RENT,1.1,DEBTCONSOLIDATION,A,32083,7.51,1,0.82,Y,9
39,57955,RENT,9.9,VENTURE,C,14413,6.15,1,0.25,N,16
44,42013,OWN,2.1,DEBTCONSOLIDATION,D,30065,9.39,1,0.72,N,21
52,31004,MORTGAGE,14.6,MEDICAL,D,15360,17.44,0,0.5,N,27
18,10748,MORTGAGE,0.4,DEBTCONSOLIDATION,C,33424,16.54,1,1.5,Y,4
52,19563,MORTGAGE,3.3,HOMEIMPROVEMENT,A,39610,18.32,1,1.5,N,21
54,13492,RENT,4.5,DEBTCONSOLIDATION,B,30195,5.2,0,1.5,N,27
64,60474,RENT,1.4,VENTURE,B,8098,11.12,1,0.13,N,13
31,29447,OWN,7.4,HOMEIMPROVEMENT,E,38029,13.0,0,1.29,N,18
20,39407,RENT,4.9,MEDICAL,D,32953,14.16,1,0.84,N,8
18,22425,MORTGAGE,0.1,EDUCATION,A,11475,9.09,1,0.51,N,24
22,70921,OWN,4.7,EDUCATION,E,21054,16.09,0,0.3,N,24
43,51238,MORTGAGE,3.4,DEBTCONSOLIDATION,A,31944,8.19,0,0.62,N,8
31,35936,RENT,1.1,PERSONAL,B,28934,19.28,1,0.81,N,16
56,31987,RENT,27.3,MEDICAL,A,19298,15.79,1,0.6,N,23
44,16369,RENT,11.4,EDUCATION,E,11941,15.83,1,0.73,N,13
26,19941,RENT,1.7,EDUCATION,D,2655,9.93,1,0.13,N,2
32,7418,OWN,3.9,DEBTCONSOLIDATION,B,20641,14.37,1,1.5,Y,24
32,51967,RENT,1.9,DEBTCONSOLIDATION,C,33360,23.38,1,0.64,N,22
43,55326,RENT,7.5,MEDICAL,A,12968,5.0,1,0.23,N,21
59,57042,RENT,13.3,EDUCATION,B,35411,19.06,0,0.62,Y,29
30,14337,RENT,2.2,MEDICAL,B,25307,15.99,1,1.5,N,13
68,85795,RENT,8.2,EDUCATION,A,18486,13.77,0,0.22,N,18
49,25461,RENT,3.4,EDUCATION,E,36219,25.0,1,1.42,N,19
56,47703,RENT,2.5,PERSONAL,C,10758,24.12,1,0.23,N,4
66,10529,RENT,13.9,MEDICAL,B,1810,8.88,1,0.17,Y,29
69,73354,RENT,3.6,EDUCATION,A,31426,18.17,1,0.43,N,30
49,53824,RENT,3.2,VENTURE,A,6746,14.42,1,0.13,Y,28
21,26342,RENT,5.6,EDUCATION,B,17042,12.18,0,0.65,N,4
47,22628,RENT,1.5,EDUCATION,C,20662,18.31,1,0.91,N,21
54,52901,OWN,2.0,PERSONAL,B,17261,23.12,0,0.33,Y,2
40,73211,OWN,13.4,DEBTCONSOLIDATION,D,20179,17.34,0,0.28,N,9
56,16468,MORTGAGE,5.7,MEDICAL,B,9405,22.8,1,0.57,N,25
62,30882,RENT,8.8,PERSONAL,B,12879,16.86,1,0.42,N,9
32,21944,RENT,1.6,MEDICAL,E,13921,18.66,1,0.63,Y,21
60,75566,MORTGAGE,3.9,DEBTCONSOLIDATION,B,29147,16.88,1,0.39,N,4
46,20162,RENT,17.8,HOMEIMPROVEMENT,B,11474,16.05,1,0.57,N,16
53,10941,OWN,1.9,VENTURE,B,3000,12.43,1,0.27,N,25
30,54578,RENT,0.9,PERSONAL,A,8613,13.25,1,0.16,N,8
49,81045,RENT,3.6,VENTURE,A,28080,16.06,1,0.35,N,7
24,52380,OWN,2.5,HOMEIMPROVEMENT,B,31260,20.78,1,0.6,N,30
68,69355,RENT,0.9,MEDICAL,E,32523,15.09,1,0.47,N,13
39,117424,RENT,11.0,DEBTCONSOLIDATION,D,12305,7.29,1,0.1,N,5
45,102270,RENT,23.4,EDUCATION,C,8231,16.02,1,0.08,N,8
19,103034,RENT,4.2,EDUCATION,B,34213,13.79,0,0.33,N,21
59,22172,RENT,7.5,DEBTCONSOLIDATION,C,28716,6.08,1,1.3,N,2
62,55001,OWN,9.8,VENTURE,B,30274,16.65,0,0.55,N,16
70,37613,OWN,6.0,PERSONAL,A,35752,20.83,0,0.95,N,22
23,37112,OWN,0.2,EDUCATION,B,11960,12.04,1,0.32,N,27
45,71354,RENT,0.9,DEBTCONSOLIDATION,B,11794,21.89,1,0.17,N,18
45,49623,MORTGAGE,0.4,PERSONAL,A,10559,18.26,1,0.21,N,28
61,31654,OWN,0.0,PERSONAL,A,32356,5.23,0,1.02,N,29
61,19154,RENT,1.8,EDUCATION,B,8317,19.75,1,0.43,Y,10
37,49926,MORTGAGE,2.5,DEBTCONSOLIDATION,B,28881,14.33,1,0.58,N,9
47,29361,OWN,1.4,DEBTCONSOLIDATION,B,3533,22.37,1,0.12,N,15
28,71118,OWN,0.3,MEDICAL,A,13471,5.79,0,0.19,N,23
45,69618,RENT,3.8,MEDICAL,A,889,5.0,1,0.01,N,3
42,44893,RENT,1.6,EDUCATION,B,31495,8.83,0,0.7,N,15
56,13296,MORTGAGE,7.9,EDUCATION,A,9935,5.0,0,0.75,N,13
50,24083,RENT,0.0,HOMEIMPROVEMENT,B,20231,10.4,0,0.84,N,26
18,105864,OWN,9.2,PERSONAL,A,511,7.66,0,0.01,N,24
44,48745,OWN,15.5,MEDICAL,D,10208,15.32,1,0.21,N,1
69,80856,MORTGAGE,6.3,VENTURE,B,18504,13.26,1,0.23,N,15
30,13888,RENT,6.6,PERSONAL,B,26833,6.89,1,1.5,N,9
58,191367,OWN,13.6,MEDICAL,A,23037,14.39,1,0.12,N,7
20,6262,RENT,1.2,MEDICAL,A,25336,6.47,0,1.5,Y,26
56,49270,OWN,26.1,VENTURE,A,9011,5.0,1,0.18,N,18
23,5575,OWN,7.4,EDUCATION,F,12973,25.0,0,1.5,N,8
25,71116,RENT,6.5,EDUCATION,D,10968,7.45,0,0.15,N,15
44,16529,OWN,2.2,MEDICAL,A,35195,9.37,0,1.5,N,14
26,29632,RENT,3.9,DEBTCONSOLIDATION,C,3332,7.89,1,0.11,N,22
54,42659,RENT,5.3,EDUCATION,B,23862,21.66,0,0.56,Y,6
50,58518,RENT,4.8,DEBTCONSOLIDATION,A,21000,18.49,1,0.36,N,14
68,29217,RENT,6.1,VENTURE,D,515,8.21,0,0.02,N,4
59,39108,RENT,0.4,HOMEIMPROVEMENT,A,11219,13.01,1,0.29,N,21
61,41355,RENT,2.2,PERSONAL,B,4366,9.91,0,0.11,N,16
41,35301,OWN,2.8,EDUCATION,C,16486,8.85,0,0.47,Y,14
32,28841,OWN,1.5,PERSONAL,C,29177,11.23,1,1.01,N,25
49,22320,OWN,0.9,EDUCATION,F,2845,25.0,1,0.13,N,23
49,42999,RENT,0.7,DEBTCONSOLIDATION,D,26016,8.16,1,0.61,N,28
41,41948,MORTGAGE,2.3,PERSONAL,D,8950,19.96,1,0.21,N,17
58,18919,OWN,3.4,MEDICAL,B,15849,22.27,0,0.84,N,16
69,28952,RENT,0.3,PERSONAL,A,1563,10.96,0,0.05,N,2
66,5647,MORTGAGE,14.6,VENTURE,D,17159,25.0,1,1.5,N,1
66,27719,RENT,7.2,PERSONAL,F,35834,25.0,1,1.29,N,15
69,5869,OWN,6.6,PERSONAL,B,21806,16.19,1,1.5,N,9
29,22754,RENT,0.9,EDUCATION,F,35198,20.12,1,1.5,N,13
56,13395,RENT,4.6,HOMEIMPROVEMENT,A,15440,16.75,1,1.15,N,26
19,17289,MORTGAGE,3.8,PERSONAL,B,4082,22.32,1,0.24,N,17
20,82659,RENT,20.2,EDUCATION,A,1831,15.6,1,0.02,N,3
66,11731,RENT,6.9,PERSONAL,B,8566,8.19,0,0.73,N,28
54,24465,MORTGAGE,4.3,DEBTCONSOLIDATION,D,26632,23.4,0,1.09,N,6
66,42663,MORTGAGE,9.5,MEDICAL,B,13736,23.03,1,0.32,Y,22
34,5000,OWN,0.8,VENTURE,E,979,17.21,1,0.23,N,9
66,29605,RENT,0.1,VENTURE,C,21393,18.95,1,0.72,N,9
19,39817,RENT,5.9,PERSONAL,B,3546,14.36,1,0.09,N,20
19,12730,OWN,0.5,MEDICAL,D,28670,9.24,1,1.5,N,17
45,8402,RENT,0.6,PERSONAL,A,1988,9.0,1,0.24,N,26
40,57851,RENT,6.8,EDUCATION,D,14220,10.28,0,0.25,N,9
54,5000,RENT,1.6,MEDICAL,A,27900,15.47,0,1.5,N,2
49,24164,RENT,5.0,MEDICAL,B,18976,15.64,1,0.79,N,15
50,11132,RENT,12.5,PERSONAL,C,30992,5.67,1,1.5,N,10
18,5000,RENT,1.9,PERSONAL,E,30466,10.23,1,1.5,Y,10
36,71827,RENT,1.2,HOMEIMPROVEMENT,C,29446,10.22,1,0.41,Y,30
19,54214,RENT,0.6,VENTURE,C,27010,19.9,1,0.5,N,4
70,75970,RENT,0.7,PERSONAL,D,30699,9.54,0,0.4,N,7
61,36992,RENT,0.3,PERSONAL,B,24539,8.1,1,0.66,N,2
43,11151,OWN,0.5,DEBTCONSOLIDATION,D,19688,25.0,0,1.5,N,9
49,22030,MORTGAGE,2.8,HOMEIMPROVEMENT,B,8490,14.92,1,0.39,N,5
23,7972,RENT,1.9,DEBTCONSOLIDATION,A,27670,14.42,0,1.5,N,10
49,26766,RENT,6.1,EDUCATION,B,9475,13.12,0,0.35,N,9
21,68643,RENT,10.2,MEDICAL,A,4773,8.0,0,0.07,N,25
28,22184,RENT,7.7,EDUCATION,A,27905,6.98,1,1.26,N,8
34,43056,RENT,3.8,VENTURE,B,6961,15.78,0,0.16,N,3
55,40564,RENT,0.5,PERSONAL,A,28594,11.42,1,0.7,N,25
41,10294,OWN,6.2,PERSONAL,C,9232,13.06,0,0.9,N,19
22,10553,OWN,2.3,PERSONAL,C,7875,18.89,0,0.75,N,25
69,53469,RENT,0.4,VENTURE,C,14160,13.08,1,0.26,N,18
51,15194,RENT,9.2,MEDICAL,B,24773,5.0,1,1.5,N,14
23,44830,OWN,2.1,VENTURE,D,912,23.79,1,0.02,N,27
39,14945,RENT,1.2,DEBTCONSOLIDATION,A,26859,8.37,0,1.5,N,11
28,18069,OWN,10.3,VENTURE,C,38645,23.93,1,1.5,N,23
65,44150,RENT,11.6,MEDICAL,B,29663,21.59,1,0.67,N,27
33,28644,OWN,2.1,DEBTCONSOLIDATION,C,6227,9.68,0,0.22,N,2
50,25088,MORTGAGE,2.2,MEDICAL,B,16407,23.31,1,0.65,N,21
26,13662,MORTGAGE,4.3,PERSONAL,D,13788,24.07,0,1.01,Y,2
23,36423,RENT,6.6,DEBTCONSOLIDATION,E,34695,25.0,1,0.95,N,15
33,15931,RENT,0.3,PERSONAL,D,20394,20.56,1,1.28,Y,24
46,48642,RENT,4.5,MEDICAL,A,34905,20.61,0,0.72,N,29
20,13923,MORTGAGE,15.3,EDUCATION,B,25255,17.8,1,1.5,N,18
37,24861,RENT,1.5,MEDICAL,E,20280,25.0,1,0.82,N,16
53,49274,RENT,12.0,MEDICAL,B,5177,16.21,1,0.11,N,25
36,41580,RENT,15.0,EDUCATION,E,7622,25.0,1,0.18,N,2
43,43990,RENT,1.6,MEDICAL,B,1794,14.36,1,0.04,N,13
20,29804,RENT,7.0,HOMEIMPROVEMENT,F,9055,25.0,1,0.3,N,20
36,11157,OWN,1.4,EDUCATION,E,2616,25.0,1,0.23,N,7
37,59651,RENT,6.7,EDUCATION,C,11047,13.45,1,0.19,Y,9
49,32632,RENT,8.0,EDUCATION,A,13210,5.0,0,0.4,N,19
24,19098,MORTGAGE,1.4,HOMEIMPROVEMENT,B,3061,6.26,1,0.16,N,2
69,17765,OWN,6.3,VENTURE,E,28192,25.0,1,1.5,N,22
58,93599,MORTGAGE,8.4,DEBTCONSOLIDATION,E,39307,25.0,0,0.42,N,1
50,28297,RENT,2.2,PERSONAL,A,31586,11.67,1,1.12,N,21
57,8667,OWN,0.9,PERSONAL,B,31055,23.22,0,1.5,N,8
56,73660,RENT,0.5,PERSONAL,D,35810,10.71,1,0.49,N,19
35,24762,RENT,4.3,PERSONAL,C,39988,7.22,1,1.5,N,21
57,20129,RENT,19.1,MEDICAL,D,17767,19.03,1,0.88,N,9
18,12102,RENT,8.7,DEBTCONSOLIDATION,D,1672,14.64,1,0.14,N,1
28,33885,RENT,2.9,EDUCATION,E,22479,15.8,1,0.66,N,25
45,61870,MORTGAGE,3.8,DEBTCONSOLIDATION,A,15185,16.68,1,0.25,N,17
42,34809,RENT,1.6,PERSONAL,A,29044,5.0,1,0.83,N,29
67,21781,RENT,0.9,DEBTCONSOLIDATION,A,27238,17.57,0,1.25,N,20
40,7163,RENT,3.3,PERSONAL,E,27170,16.19,1,1.5,N,17
48,26138,RENT,3.1,DEBTCONSOLIDATION,B,25188,23.73,1,0.96,N,24
47,40189,OWN,3.7,PERSONAL,A,7042,18.17,0,0.18,N,7
59,15176,RENT,15.3,DEBTCONSOLIDATION,B,25867,16.92,1,1.5,N,3
52,75853,OWN,4.6,EDUCATION,B,27439,8.59,1,0.36,N,16
24,22270,RENT,4.7,EDUCATION,D,16265,25.0,1,0.73,N,21
33,42449,OWN,0.7,MEDICAL,D,643,7.66,1,0.02,Y,2
43,23087,OWN,28.3,EDUCATION,C,6301,9.47,1,0.27,N,26
65,56428,MORTGAGE,7.4,VENTURE,A,27651,5.0,1,0.49,N,5
69,36360,MORTGAGE,10.5,DEBTCONSOLIDATION,E,22136,25.0,0,0.61,N,5
66,90692,OWN,2.7,VENTURE,A,21369,19.43,1,0.24,Y,9
19,37020,RENT,3.5,VENTURE,C,7837,24.04,1,0.21,N,15
18,48159,RENT,3.7,PERSONAL,A,25035,16.3,1,0.52,N,21
65,38650,OWN,1.1,VENTURE,A,32785,5.0,1,0.85,N,27
29,11302,MORTGAGE,5.8,MEDICAL,A,8616,20.63,0,0.76,N,16
22,72580,RENT,11.7,DEBTCONSOLIDATION,C,20614,13.42,1,0.28,N,18
54,42641,RENT,0.9,EDUCATION,C,14498,12.36,0,0.34,N,19
49,49089,OWN,0.5,VENTURE,A,30779,7.68,1,0.63,N,6
26,66037,RENT,6.7,EDUCATION,B,33481,9.74,1,0.51,N,27
58,67974,RENT,1.6,EDUCATION,E,30289,25.0,1,0.45,N,17
52,12389,RENT,4.9,EDUCATION,A,15405,7.13,0,1.24,Y,22
36,10010,OWN,5.9,EDUCATION,A,31438,6.44,0,1.5,N,21
65,16324,MORTGAGE,1.9,EDUCATION,B,12800,17.96,0,0.78,N,14
33,10338,RENT,8.4,PERSONAL,D,18702,12.75,0,1.5,N,16
20,22642,RENT,4.0,HOMEIMPROVEMENT,B,3994,5.0,0,0.18,Y,2
37,11524,RENT,10.2,PERSONAL,F,985,25.0,1,0.09,Y,18
41,12295,RENT,7.2,DEBTCONSOLIDATION,B,19899,10.27,1,1.5,Y,18
50,41646,OWN,10.1,PERSONAL,B,36747,19.29,1,0.88,N,3
41,6311,RENT,0.1,PERSONAL,A,7429,11.38,0,1.18,N,14
69,33589,RENT,1.4,MEDICAL,C,29103,7.68,1,0.87,N,26
28,59484,OWN,0.5,MEDICAL,A,5437,15.24,0,0.09,N,18
66,59153,OWN,2.9,MEDICAL,C,33931,9.63,1,0.57,N,19
25,50190,RENT,11.0,MEDICAL,A,39584,7.76,1,0.79,Y,25
53,54835,RENT,3.2,EDUCATION,B,13574,5.0,1,0.25,N,3
55,52579,MORTGAGE,9.5,VENTURE,E,736,9.33,1,0.01,N,7
57,12005,RENT,2.0,MEDICAL,D,23570,17.27,1,1.5,N,3
37,26833,OWN,2.1,EDUCATION,A,11976,5.0,1,0.45,N,6
52,51140,RENT,11.3,HOMEIMPROVEMENT,C,20227,9.19,0,0.4,N,25
65,21973,OWN,2.8,VENTURE,C,39818,23.48,1,1.5,N,12
42,22160,OWN,7.8,EDUCATION,A,18839,5.0,1,0.85,N,22
52,39611,OWN,1.4,HOMEIMPROVEMENT,B,23039,9.82,1,0.58,N,16
42,99991,MORTGAGE,14.9,DEBTCONSOLIDATION,B,728,18.53,1,0.01,N,20
46,57813,MORTGAGE,4.3,MEDICAL,B,21944,21.69,0,0.38,Y,5
35,6519,OWN,7.1,EDUCATION,D,28488,7.92,1,1.5,Y,29
63,36606,RENT,0.5,DEBTCONSOLIDATION,A,23699,5.71,1,0.65,N,24
